mac,time,9c:d9:17:88:77:93,9c:d9:17:86:63:97,14:1a:a3:db:32:14,zone
08:10:75:23:93:d8,2015-12-30 17:57:30,-100,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:57:40,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:57:50,-76,-78,-100,F,
08:10:75:23:93:d8,2015-12-30 17:58:00,-76,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:58:10,-76,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:58:20,-74,-70,-100,F,
08:10:75:23:93:d8,2015-12-30 17:58:30,-76,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:58:40,-74,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:58:50,-100,-68,-100,F,
08:10:75:23:93:d8,2015-12-30 17:59:00,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:59:10,-100,-70,-100,F,
08:10:75:23:93:d8,2015-12-30 17:59:20,-100,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:59:30,-100,-66,-100,F,
08:10:75:23:93:d8,2015-12-30 17:59:40,-100,-66,-100,F,
08:10:75:23:93:d8,2015-12-30 17:59:50,-100,-74,-100,F,
08:57:00:3a:ac:d6,2015-12-30 17:31:50,-70,-100,-100,F,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:31:10,-100,-44,-52,F,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:31:40,-64,-42,-48,F,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:31:50,-100,-44,-52,F,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:36:20,-100,-44,-54,F,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:45:00,-48,-54,-60,B,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:45:20,-56,-56,-58,E,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:46:10,-54,-56,-60,B,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:48:40,-56,-58,-58,E,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:49:10,-54,-56,-60,B,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:50:40,-54,-48,-54,E,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:51:20,-56,-58,-58,E,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:54:40,-42,-46,-56,F,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:54:50,-46,-52,-58,D,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:55:30,-46,-48,-52,D,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:56:40,-46,-48,-52,D,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:57:20,-46,-56,-58,F,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:57:30,-48,-58,-62,B,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:59:00,-44,-52,-60,D,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:59:30,-56,-60,-58,E,Tp-LinkT
08:57:00:3c:ed:7f,2015-12-30 17:59:40,-56,-56,-58,E,Tp-LinkT
08:57:00:a2:87:c4,2015-12-30 17:33:00,-64,-60,-42,A,Tp-LinkT
08:57:00:a2:87:c4,2015-12-30 17:35:30,-100,-64,-100,F,Tp-LinkT
08:57:00:a2:87:c4,2015-12-30 17:35:50,-66,-44,-54,F,Tp-LinkT
08:57:00:a2:87:c4,2015-12-30 17:36:00,-36,-64,-58,D,Tp-LinkT
08:57:00:a2:87:c4,2015-12-30 17:54:40,-40,-48,-100,F,Tp-LinkT
08:57:00:a2:87:c4,2015-12-30 17:58:30,-38,-40,-100,F,Tp-LinkT
08:7a:4c:08:fe:c7,2015-12-30 17:32:40,-70,-100,-100,F,HuaweiTe
08:7a:4c:08:fe:c7,2015-12-30 17:38:00,-72,-100,-100,F,HuaweiTe
08:7a:4c:08:fe:c7,2015-12-30 17:39:10,-72,-100,-100,F,HuaweiTe
08:7a:4c:08:fe:c7,2015-12-30 17:40:10,-100,-72,-100,F,HuaweiTe
08:7a:4c:08:fe:c7,2015-12-30 17:40:30,-70,-100,-100,F,HuaweiTe
08:7a:4c:08:fe:c7,2015-12-30 17:40:40,-70,-100,-100,F,HuaweiTe
08:7a:4c:08:fe:c7,2015-12-30 17:44:20,-74,-100,-100,F,HuaweiTe
08:7a:4c:08:fe:c7,2015-12-30 17:52:20,-70,-64,-66,C,HuaweiTe
0c:1d:af:40:84:20,2015-12-30 17:41:30,-100,-68,-100,F,BeijingX
0c:1d:af:cf:95:d1,2015-12-30 17:33:20,-100,-62,-100,F,BeijingX
0c:1d:af:cf:95:d1,2015-12-30 17:33:40,-72,-64,-74,C,BeijingX
0c:1d:af:cf:95:d1,2015-12-30 17:34:00,-60,-60,-78,F,BeijingX
